_id,title,slug,category,status,constructionStatus,price,area,areaUnit,locality,city,state,description,images,highlights,amenities,isRERA,isFeatured,isZeroBrokerage,postedBy,agentName,views,savedCount,createdAt,updatedAt
a0451b56-7c16-42d7-8052-b2aabdb3f591,"4 BHK Flat for Sale in Adgaon, Nashik",4-bhk-flat-for-sale-in-adgaon-nashik-77990,Sale,Active,Ready to Move,16331019,2033,sq.ft.,Adgaon,Nashik,Maharashtra,"Beautiful 4 BHK apartment in Adgaon, Nashik, ready to move in. This well-designed flat is strategically located near a hospital, ensuring proximity to quality healthcare facilities. Enjoy excellent connectivity and easy access to the highway, making your commute hassle-free and convenient for daily travel.","[""https://images.property.com/nashik/4-bhk-flat-2735-1.jpg"",""https://images.property.com/nashik/4-bhk-flat-6898-2.jpg"",""https://images.property.com/nashik/4-bhk-flat-6245-3.jpg"",""https://images.property.com/nashik/4-bhk-flat-2768-4.jpg"",""https://images.property.com/nashik/4-bhk-flat-9098-5.jpg""]","[""Near Hospital"",""Well Connected"",""Near Highway""]","[""Children Play Area"",""Power Backup"",""Parking"",""Gym"",""CCTV"",""Clubhouse"",""Fire Safety""]",0,0,1,Agent,Ritu Unnikrishnan,3555,61,2025-09-22T03:09:10,2025-11-15T23:53:05
be76b1f8-d3dd-4a7c-8e99-ce83fe8a1a94,"3 BHK Flat for Sale in Jail Road, Nashik",3-bhk-flat-for-sale-in-jail-road-nashik-66471,Sale,Active,Ready to Move,12998699,1607,sq.ft.,Jail Road,Nashik,Maharashtra,"Beautiful 3 BHK fully furnished apartment on Jail Road, Nashik, ready to move immediately. This well-designed home is conveniently located near a hospital, ensuring easy access to medical facilities for your family. A perfect investment opportunity for those seeking a comfortable and well-equipped living space in a prime location.","[""https://images.property.com/nashik/3-bhk-flat-5504-1.jpg"",""https://images.property.com/nashik/3-bhk-flat-9731-2.jpg"",""https://images.property.com/nashik/3-bhk-flat-3001-3.jpg"",""https://images.property.com/nashik/3-bhk-flat-4565-4.jpg"",""https://images.property.com/nashik/3-bhk-flat-5295-5.jpg""]","[""Near Hospital"",""Fully Furnished""]","[""Gym"",""Security"",""Clubhouse"",""Rainwater Harvesting"",""Maintenance Staff"",""Garden""]",1,0,0,Agent,Mayank Gill,1831,117,2026-02-06T17:33:02,2026-02-28T13:53:35
0bee88b2-359f-4133-bc19-625bdca716da,"2 BHK Flat for Rent in Upnagar, Nashik",2-bhk-flat-for-rent-in-upnagar-nashik-11043,Rent,Active,New Launch,17680,1197,sq.ft.,Upnagar,Nashik,Maharashtra,"2 BHK Flat for Rent in Upnagar, Nashik

Stunning new launch 2 BHK flat in a prime corner property location at Upnagar, perfect for modern living. Situated near the market with excellent connectivity, this property offers convenient access to all essential amenities and shopping centers. Ideal for families looking for a well-planned residential space in a thriving locality.","[""https://images.property.com/nashik/2-bhk-flat-1438-1.jpg"",""https://images.property.com/nashik/2-bhk-flat-6486-2.jpg"",""https://images.property.com/nashik/2-bhk-flat-4712-3.jpg""]","[""Corner Property"",""Near Market"",""Prime Location""]","[""Lift"",""CCTV"",""EV Charging"",""Children Play Area"",""Garden""]",0,0,1,Owner,,4059,15,2025-05-04T17:05:25,2025-07-08T14:40:01
a7ed9f2d-a161-4d42-ab31-a29c29b081e7,"1 RK Flat for Sale in Nashik Road, Nashik",1-rk-flat-for-sale-in-nashik-road-nashik-88408,Sale,Active,Ready to Move,1996689,303,sq.ft.,Nashik Road,Nashik,Maharashtra,"Discover this stunning 1 RK flat in the rapidly developing Nashik Road area, perfectly designed for first-time home buyers and investors. This semi-furnished property boasts excellent connectivity to major highways, making your commute effortless, and features a spacious balcony to enjoy the pleasant weather. Ready to move into immediately, this is an ideal investment in a prime location with all essential amenities within reach.","[""https://images.property.com/nashik/1-rk-flat-1630-1.jpg"",""https://images.property.com/nashik/1-rk-flat-1094-2.jpg"",""https://images.property.com/nashik/1-rk-flat-4131-3.jpg"",""https://images.property.com/nashik/1-rk-flat-9332-4.jpg""]","[""Well Connected"",""Near Highway"",""Semi-Furnished"",""Balcony""]","[""Clubhouse"",""Water Supply 24x7"",""Gym"",""Swimming Pool""]",0,0,0,Agent,Narmada Thapar,2436,13,2025-06-06T10:47:06,2025-08-16T13:48:20
ddef83ec-3365-4816-9efa-3db29027645f,"Shop for Sale in Tidke Colony, Nashik",shop-for-sale-in-tidke-colony-nashik-43020,Sale,Active,Under Construction,19447634,334,sq.ft.,Tidke Colony,Nashik,Maharashtra,"Discover this premium ground floor corner shop in Tidke Colony, Nashik, perfectly positioned with road-facing frontage to maximize visibility and foot traffic for your business. This under-construction property boasts excellent natural light and ventilation with an attached balcony, ideal for retail or commercial purposes. Prime location ensures excellent footfall and business potential in a rapidly developing area.","[""https://images.property.com/nashik/shop-9221-1.jpg"",""https://images.property.com/nashik/shop-7767-2.jpg"",""https://images.property.com/nashik/shop-9616-3.jpg""]","[""Ground Floor"",""Corner Property"",""Road Facing"",""Balcony""]","[""Fire Safety"",""Gym"",""CCTV"",""Parking"",""Jogging Track"",""Lift"",""Children Play Area""]",0,0,0,Agent,Persis Mohapatra,3433,137,2025-08-07T21:18:11,2025-10-23T00:22:20
b5ad9515-acbe-4454-8830-3c6aa5d4c65d,"4 BHK Flat for Sale in Indira Nagar, Nashik",4-bhk-flat-for-sale-in-indira-nagar-nashik-57256,Sale,Active,Under Construction,10322792,2269,sq.ft.,Indira Nagar,Nashik,Maharashtra,"Spacious 4 BHK flat in the heart of Indira Nagar, Nashik, offering the perfect blend of comfort and convenience. Located near the market and highway, this under-construction property provides easy access to shopping and commuting while treating you to scenic views of the surroundings. An ideal investment for families seeking modern living with excellent connectivity and natural beauty.","[""https://images.property.com/nashik/4-bhk-flat-1211-1.jpg"",""https://images.property.com/nashik/4-bhk-flat-4593-2.jpg"",""https://images.property.com/nashik/4-bhk-flat-6945-3.jpg"",""https://images.property.com/nashik/4-bhk-flat-7125-4.jpg""]","[""Near Market"",""Near Highway"",""Scenic View""]","[""Jogging Track"",""Swimming Pool"",""Garden""]",0,0,0,Builder,,163,57,2025-07-22T12:10:35,2025-10-15T14:35:40
38c14bc0-e036-4879-bbbf-e1adf5c8d003,"3 BHK Flat for Rent in Pipeline Road, Nashik",3-bhk-flat-for-rent-in-pipeline-road-nashik-45375,Rent,Active,Ready to Move,27796,1452,sq.ft.,Pipeline Road,Nashik,Maharashtra,"Spacious 3 BHK flat available for rent on Pipeline Road, Nashik, ready to move in immediately. This fully furnished property is perfectly situated in a peaceful locality with excellent proximity to schools and educational institutions. Ideal for families seeking a comfortable and convenient living space in a quiet neighborhood.","[""https://images.property.com/nashik/3-bhk-flat-6680-1.jpg"",""https://images.property.com/nashik/3-bhk-flat-9859-2.jpg""]","[""Peaceful Locality"",""Near School"",""Fully Furnished""]","[""Vastu Compliant"",""Power Backup"",""Rainwater Harvesting"",""Gated Community"",""Clubhouse""]",0,0,0,Agent,Nakul Patel,3432,193,2025-08-26T00:05:02,2025-09-13T05:12:32
0069ef14-14dd-4727-b336-a5c91e0e9998,"1 BHK Flat for Sale in Peth Road, Nashik",1-bhk-flat-for-sale-in-peth-road-nashik-63647,Sale,Active,New Launch,3443027,509,sq.ft.,Peth Road,Nashik,Maharashtra,"Stunning new launch 1 BHK flat located on the coveted Peth Road in Nashik, perfectly positioned as a corner property with excellent road-facing exposure. This newly renovated home offers prime connectivity with a reputed school and hospital in close proximity, making it an ideal choice for families seeking convenience and accessibility. A fantastic investment opportunity that combines modern construction with a strategic location.","[""https://images.property.com/nashik/1-bhk-flat-3095-1.jpg"",""https://images.property.com/nashik/1-bhk-flat-6506-2.jpg"",""https://images.property.com/nashik/1-bhk-flat-3046-3.jpg""]","[""Corner Property"",""Road Facing"",""Newly Renovated"",""Near School"",""Near Hospital""]","[""Children Play Area"",""Parking"",""Rainwater Harvesting"",""Maintenance Staff"",""Visitor Parking"",""Security"",""CCTV"",""Vastu Compliant""]",1,0,1,Agent,Tulsi Naidu,3789,12,2026-03-16T21:02:11,2026-03-18T14:41:28
14e3c205-66e0-4738-849a-43b9cc35b2d5,"4 BHK Flat for Sale in Pipeline Road, Nashik",4-bhk-flat-for-sale-in-pipeline-road-nashik-12589,Sale,Under Review,New Launch,21423185,2292,sq.ft.,Pipeline Road,Nashik,Maharashtra,"Luxurious 4 BHK newly launched flat located on the prime Pipeline Road in Nashik. This ground floor property offers modern amenities and contemporary finishes, perfect for families seeking comfort and convenience. Newly renovated interiors with excellent natural light and ventilation make this an ideal home investment.","[""https://images.property.com/nashik/4-bhk-flat-4424-1.jpg"",""https://images.property.com/nashik/4-bhk-flat-8370-2.jpg"",""https://images.property.com/nashik/4-bhk-flat-5921-3.jpg"",""https://images.property.com/nashik/4-bhk-flat-4007-4.jpg"",""https://images.property.com/nashik/4-bhk-flat-4711-5.jpg""]","[""Newly Renovated"",""Ground Floor""]","[""Fire Safety"",""Power Backup"",""EV Charging"",""Rainwater Harvesting"",""Water Supply 24x7"",""Maintenance Staff"",""Clubhouse"",""Parking""]",0,1,0,Builder,,3850,129,2025-04-25T16:20:41,2025-12-04T05:42:00
a019ff0f-c64b-4cff-b127-d31e8eaeded8,"Commercial Land for Sale in Peth Road, Nashik",commercial-land-for-sale-in-peth-road-nashik-62721,Sale,Active,,107366650,32591,sq.yd.,Peth Road,Nashik,Maharashtra,"Commercial Land for Sale in Peth Road, Nashik

Prime commercial land located on the bustling Peth Road in Nashik, offering exceptional visibility and easy accessibility. This strategically positioned property boasts a scenic view and is situated in one of the most sought-after commercial hubs of the city, making it ideal for retail, hospitality, or corporate ventures. Excellent investment opportunity in a high-traffic area with strong potential for business growth and returns.","[""https://images.property.com/nashik/commercial-land-5985-1.jpg"",""https://images.property.com/nashik/commercial-land-8126-2.jpg""]","[""Scenic View"",""Prime Location""]","[""Water Supply 24x7"",""Parking"",""Clubhouse"",""Children Play Area"",""Gym"",""Garden"",""Power Backup""]",1,0,0,Builder,,4761,57,2026-02-01T14:41:24,2026-02-14T00:39:35
